time_utc;tle_index;tle_epoch;dt_since_tle_s;mean_motion;orbital_speed_km_s;mean_motion_derivative;altitude_drift_km_per_day;bstar;inclination_deg;raan_deg;eccentricity;arg_perigee_deg;mean_anomaly_deg;rev_number;x_sgp4_km;y_sgp4_km;z_sgp4_km;x_horizons_km;y_horizons_km;z_horizons_km;dx_km;dy_km;dz_km;error_norm_km
2025-10-04T20:04:14.404128+00:00;7;2025-10-04T12:44:14.404128+00:00;26400.0;15.49674063;7.6585770966355575;0.00012744;-0.03725767396225994;0.00023354;51.632;125.13320000000002;9.8e-05;198.3499;161.7454;53212;3776.7261893645496;1901.1439323236827;-5325.772955122695;3775.158342203558;1903.6517304495073;-5325.959621507222;1.5678471609917324;-2.5077981258245927;0.18666638452759798;2.963450775570902
2025-10-04T20:09:14.404128+00:00;7;2025-10-04T12:44:14.404128+00:00;26700.0;15.49674063;7.6585770966355575;0.00012744;-0.03725767396225994;0.00023354;51.632;125.13320000000002;9.8e-05;198.3499;161.7454;53212;2415.312713547086;3726.959103028759;-5149.7564497301555;2413.2557496388094;3729.0393242356704;-5149.165885839226;2.0569639082764297;-2.080221206911574;-0.5905638909298432;2.984490994944814
2025-10-04T20:14:14.404128+00:00;7;2025-10-04T12:44:14.404128+00:00;27000.0;15.49674063;7.6585770966355575;0.00012744;-0.03725767396225994;0.00023354;51.632;125.13320000000002;9.8e-05;198.3499;161.7454;53212;781.7006749167361;5132.6977104635425;-4391.684368984691;779.3817689882715;5134.108930105116;-4390.3735920996505;2.3189059284646873;-1.4112196415735525;-1.3107768850404682;3.014465396084031
2025-10-04T20:19:14.404128+00:00;7;2025-10-04T12:44:14.404128+00:00;27300.0;15.49674063;7.6585770966355575;0.00012744;-0.03725767396225994;0.00023354;51.632;125.13320000000002;9.8e-05;198.3499;161.7454;53212;-940.062065710753;5959.2687304603405;-3136.7083209221987;-942.3829246627097;5959.8388203811655;-3134.8148781681334;2.320858951956666;-0.5700899208250121;-1.8934427540652905;3.0490185725288743
2025-10-04T20:24:14.404128+00:00;7;2025-10-04T12:44:14.404128+00:00;27600.0;15.49674063;7.6585770966355575;0.00012744;-0.03725767396225994;0.00023354;51.632;125.13320000000002;9.8e-05;198.3499;161.7454;53212;-2555.5258430583863;6112.3319419070785;-1526.2757902444232;-2557.5837961999932;6111.980252482432;-1524.0056282869307;2.0579531416069585;0.35168942464679276;-2.270161957492519;3.0842327891559362
2025-10-04T20:28:32.738016+00:00;8;2025-10-04T20:28:32.738016+00:00;0.0;15.49682341;7.6585907333930825;0.00012686;-0.037087778086121174;0.00023244999999999999;51.6326;123.5365;9.33e-05;203.2133;156.8813;53217;-3719.552499435612;5689.090113467777;4.672127330631552;-3722.475146298075;5687.167233473228;9.11431637272907;2.922646862462898;1.9228799945485662;-4.442189042097517;5.654412050941334
2025-10-04T20:33:32.738016+00:00;8;2025-10-04T20:28:32.738016+00:00;300.0;15.49682341;7.6585907333930825;0.00012686;-0.037087778086121174;0.00023244999999999999;51.6326;123.5365;9.33e-05;203.2133;156.8813;53217;-4674.755130495844;4600.69099670765;1775.501420846464;-4676.484116344889;4597.306040939862;1779.6897518547235;1.728985849044875;3.3849557677876874;-4.188331008259411;5.655920283280507
2025-10-04T20:38:32.738016+00:00;8;2025-10-04T20:28:32.738016+00:00;600.0;15.49682341;7.6585907333930825;0.00012686;-0.037087778086121174;0.00023244999999999999;51.6326;123.5365;9.33e-05;203.2133;156.8813;53217;-5100.037909782108;2990.7689388532217;3344.4939431347602;-5100.376998499322;2986.3053649231333;3347.952216015915;0.3390887172145085;4.463573930088387;-3.4582728811546986;5.656688493105917
2025-10-04T20:43:32.738016+00:00;8;2025-10-04T20:28:32.738016+00:00;900.0;15.49682341;7.6585907333930825;0.00012686;-0.037087778086121174;0.00023244999999999999;51.6326;123.5365;9.33e-05;203.2133;156.8813;53217;-4947.303822961574;1041.8690293912264;4533.37287062092;-4946.215008069649;1036.8327351868104;4535.708463637519;-1.0888148919248124;5.036294204415981;-2.3355930165989776;5.657276016025482
2025-10-04T20:48:32.738016+00:00;8;2025-10-04T20:28:32.738016+00:00;1200.0;15.49682341;7.6585907333930825;0.00012686;-0.037087778086121174;0.00023244999999999999;51.6326;123.5365;9.33e-05;203.2133;156.8813;53217;-4234.139701598772;-1025.0726888193524;5207.267616871779;-4231.746579221114;-1030.111591429893;5208.215733145331;-2.3931223776580737;5.038902610540617;-0.948116273551932;5.658312354504202
